text,label
you are so dumb and useless,1
i will beat you loser,1
go away you idiot,1
nobody likes you,1
you are a fat ugly pig,1
shut up moron,1
you are worthless,1
kill yourself loser,1
you are a stupid fool,1
everyone hates you,1
you are a failure,1
you look disgusting,1
get lost creep,1
you are so annoying,1
you are a joke,1
i hate you so much,1
you are trash,1
you should disappear,1
you are pathetic,1
stop being such a loser,1
you are a nice person,0
i love your work,0
great job keep it up,0
lets play tomorrow,0
you are very talented,0
have a great day,0
thanks for helping me,0
your drawing is amazing,0
you are so kind,0
well done brother,0
good morning have a nice day,0
congrats on your success,0
you are my best friend,0
this is so helpful thank you,0
keep smiling,0
you are awesome,0
nice to meet you,0
hope you are doing well,0
your idea is great,0
happy birthday to you,0
